scope,features,window,days,model,n_train,rps,rps_lo,rps_hi,hpo_degenerate,tuning_fits,params
onestep,few,5y,1826,CatBoost,4464,0.16988282013192052,0.16970997619518619,0.17005566406865485,false,30,"{""iterations"": 400, ""depth"": 3, ""learning_rate"": 0.01699897838270077, ""l2_leaf_reg"": 1.1430983876313219}"
onestep,few,8y,2922,CatBoost,7279,0.16948389006526948,0.16921705827769354,0.16975072185284543,false,30,"{""iterations"": 400, ""depth"": 3, ""learning_rate"": 0.01699897838270077, ""l2_leaf_reg"": 1.1430983876313219}"
onestep,few,1mo,30,LogReg,57,0.17816464173781432,0.17816464173781432,0.17816464173781432,true,0,"{""C"": 0.01, ""penalty"": ""l2"", ""max_iter"": 2000}"
onestep,few,6mo,182,LogReg,628,0.1710152425747008,0.1710152425747008,0.1710152425747008,false,36,"{""C"": 1, ""penalty"": ""l1"", ""max_iter"": 2000}"
onestep,few,1y,365,LogReg,1115,0.17039650933691106,0.1703949531314612,0.17039806554236092,false,36,"{""C"": 1, ""penalty"": ""l1"", ""max_iter"": 2000}"
onestep,few,2y,730,LogReg,1462,0.17020461891319444,0.17017121611691557,0.1702380217094733,false,36,"{""C"": 1, ""penalty"": ""l1"", ""max_iter"": 2000}"
onestep,few,5y,1826,LogReg,4464,0.16961375841846676,0.1696022231953391,0.16962529364159443,false,36,"{""C"": 0.1, ""penalty"": ""l1"", ""max_iter"": 2000}"
onestep,few,8y,2922,LogReg,7279,0.16948212991931655,0.16948212991931655,0.16948212991931655,false,36,"{""C"": 0.1, ""penalty"": ""l1"", ""max_iter"": 2000}"
onestep,few,1mo,30,TabICL,57,0.1807286744804784,0.1807286744804784,0.1807286744804784,false,0,{}
onestep,few,6mo,182,TabICL,628,0.17030922065820644,0.17030922065820644,0.17030922065820644,false,0,{}
onestep,few,1y,365,TabICL,1115,0.1696499227876308,0.1696499227876308,0.1696499227876308,false,0,{}
onestep,few,2y,730,TabICL,1462,0.16985109055189948,0.16985109055189948,0.16985109055189948,false,0,{}
onestep,few,5y,1826,TabICL,4464,0.16940125111794893,0.16940125111794893,0.16940125111794893,false,0,{}
onestep,few,8y,2922,TabICL,7279,0.16915114414282884,0.16915114414282884,0.16915114414282884,false,0,{}
onestep,few,1mo,30,TabPFN,57,0.1700871421400036,0.1700871421400036,0.1700871421400036,false,0,{}
onestep,few,6mo,182,TabPFN,628,0.16998062913222708,0.16998062913222708,0.16998062913222708,false,0,{}
onestep,few,1y,365,TabPFN,1115,0.169621100667453,0.169621100667453,0.169621100667453,false,0,{}
onestep,few,2y,730,TabPFN,1462,0.1699396363200269,0.1699396363200269,0.1699396363200269,false,0,{}
onestep,few,5y,1826,TabPFN,4464,0.16962256706904685,0.16962256706904685,0.16962256706904685,false,0,{}
onestep,few,8y,2922,TabPFN,7279,0.16953275627322745,0.16953275627322745,0.16953275627322745,false,0,{}
onestep,few,1mo,30,XGBoost,57,0.18661480630506497,0.1861047145082596,0.18712489810187033,true,0,"{""max_depth"": 2, ""reg_lambda"": 10.0, ""n_estimators"": 200, ""learning_rate"": 0.05, ""min_child_weight"": 5, ""subsample"": 0.8}"
onestep,few,6mo,182,XGBoost,628,0.17177527760847439,0.17163051164173487,0.1719200435752139,false,30,"{""n_estimators"": 400, ""max_depth"": 2, ""learning_rate"": 0.01699897838270077, ""min_child_weight"": 1, ""reg_lambda"": 5.3994844097874335, ""subsample"": 0.8404460046972835}"
onestep,few,1y,365,XGBoost,1115,0.17119583857159199,0.17093056647299515,0.17146111067018882,false,30,"{""n_estimators"": 400, ""max_depth"": 2, ""learning_rate"": 0.01699897838270077, ""min_child_weight"": 1, ""reg_lambda"": 5.3994844097874335, ""subsample"": 0.8404460046972835}"
onestep,few,2y,730,XGBoost,1462,0.1707374937652551,0.17051893605980178,0.17095605147070841,false,30,"{""n_estimators"": 400, ""max_depth"": 2, ""learning_rate"": 0.01699897838270077, ""min_child_weight"": 1, ""reg_lambda"": 5.3994844097874335, ""subsample"": 0.8404460046972835}"
onestep,few,5y,1826,XGBoost,4464,0.16994926063660545,0.16980692964054528,0.17009159163266563,false,30,"{""n_estimators"": 400, ""max_depth"": 2, ""learning_rate"": 0.01699897838270077, ""min_child_weight"": 1, ""reg_lambda"": 5.3994844097874335, ""subsample"": 0.8404460046972835}"
onestep,few,8y,2922,XGBoost,7279,0.16930007651400564,0.16918453029835948,0.1694156227296518,false,30,"{""n_estimators"": 400, ""max_depth"": 2, ""learning_rate"": 0.01699897838270077, ""min_child_weight"": 1, ""reg_lambda"": 5.3994844097874335, ""subsample"": 0.8404460046972835}"
